date	artist	song
11/6/21	Adele	Easy On Me
10/30/21	Adele	Easy On Me
10/23/21	Lil Nas X & Jack Harlow	Industry Baby
10/16/21	The Kid LAROI & Justin Bieber	Stay
10/9/21	Coldplay x BTS	My Universe
10/2/21	The Kid LAROI & Justin Bieber	Stay
9/25/21	The Kid LAROI & Justin Bieber	Stay
9/18/21	Drake Featuring Future & Young Thug	Way 2 Sexy
9/11/21	BTS	Butter
9/4/21	The Kid LAROI & Justin Bieber	Stay
8/28/21	The Kid LAROI & Justin Bieber	Stay
8/21/21	The Kid LAROI & Justin Bieber	Stay
8/14/21	The Kid LAROI & Justin Bieber	Stay
8/7/21	BTS	Butter
7/31/21	BTS	Butter
7/24/21	BTS	Permission To Dance
7/17/21	BTS	Butter
7/10/21	BTS	Butter
7/3/21	BTS	Butter
6/26/21	BTS	Butter
6/19/21	BTS	Butter
6/12/21	BTS	Butter
6/5/21	BTS	Butter
5/29/21	Olivia Rodrigo	Good 4 U
5/22/21	Silk Sonic (Bruno Mars & Anderson .Paak)	Leave The Door Open
5/15/21	The Weeknd & Ariana Grande	Save Your Tears
5/8/21	The Weeknd & Ariana Grande	Save Your Tears
5/1/21	Polo G	Rapstar
4/24/21	Polo G	Rapstar
4/17/21	Silk Sonic (Bruno Mars & Anderson .Paak)	Leave The Door Open
4/10/21	Lil Nas X	Montero (Call Me By Your Name)
4/3/21	Justin Bieber Featuring Daniel Caesar & Giveon	Peaches
3/27/21	Cardi B	Up
3/20/21	Drake	What's Next
3/13/21	Olivia Rodrigo	Drivers License
3/6/21	Olivia Rodrigo	Drivers License
2/27/21	Olivia Rodrigo	Drivers License
2/20/21	Olivia Rodrigo	Drivers License
2/13/21	Olivia Rodrigo	Drivers License
2/6/21	Olivia Rodrigo	Drivers License
1/30/21	Olivia Rodrigo	Drivers License
1/23/21	Olivia Rodrigo	Drivers License
1/16/21	24kGoldn Featuring iann dior	Mood
1/9/21	24kGoldn Featuring iann dior	Mood
1/2/21	Mariah Carey	All I Want For Christmas Is You
12/26/20	Taylor Swift	Willow
12/19/20	Mariah Carey	All I Want For Christmas Is You
12/12/20	24kGoldn Featuring iann dior	Mood
12/5/20	BTS	Life Goes On
11/28/20	24kGoldn Featuring iann dior	Mood
11/21/20	24kGoldn Featuring iann dior	Mood
11/14/20	24kGoldn Featuring iann dior	Mood
11/7/20	Ariana Grande	Positions
10/31/20	24kGoldn Featuring iann dior	Mood
10/24/20	24kGoldn Featuring iann dior	Mood
